Local time,Open,High,Low,Close,Volume
05.03.2005 23:00:00.000 GMT+0100,1.62934,1.62934,1.62934,1.62934,0
06.03.2005 23:00:00.000 GMT+0100,1.62847,1.63188,1.62021,1.62309,485570.30350000004
07.03.2005 23:00:00.000 GMT+0100,1.62368,1.62952,1.61496,1.61732,432768.9970000001
08.03.2005 23:00:00.000 GMT+0100,1.61777,1.61924,1.60823,1.61542,440052.9955
09.03.2005 23:00:00.000 GMT+0100,1.61541,1.61735,1.60765,1.61559,445131.7988
10.03.2005 23:00:00.000 GMT+0100,1.61591,1.62533,1.61188,1.62200,434933.1019
11.03.2005 23:00:00.000 GMT+0100,1.62200,1.62200,1.62200,1.62200,0
12.03.2005 23:00:00.000 GMT+0100,1.62200,1.62200,1.62200,1.62200,0
13.03.2005 23:00:00.000 GMT+0100,1.62261,1.62328,1.60938,1.61253,469825.89469999995
14.03.2005 23:00:00.000 GMT+0100,1.61288,1.61530,1.60024,1.60529,494821.8018000001
15.03.2005 23:00:00.000 GMT+0100,1.60547,1.61733,1.60234,1.61564,468842.2993
16.03.2005 23:00:00.000 GMT+0100,1.61563,1.61808,1.60125,1.60582,445787.10190000007
17.03.2005 23:00:00.000 GMT+0100,1.60579,1.60832,1.59618,1.60044,439413.4985
18.03.2005 23:00:00.000 GMT+0100,1.60044,1.60044,1.60044,1.60044,0
19.03.2005 23:00:00.000 GMT+0100,1.60044,1.60044,1.60044,1.60044,0
20.03.2005 23:00:00.000 GMT+0100,1.60040,1.60338,1.59106,1.59285,439255.50260000007
21.03.2005 23:00:00.000 GMT+0100,1.59282,1.59553,1.57811,1.58155,442025.89589999994
22.03.2005 23:00:00.000 GMT+0100,1.58134,1.58504,1.57370,1.57679,442367.89860000013
23.03.2005 23:00:00.000 GMT+0100,1.57783,1.58342,1.56923,1.56935,445555.9029
24.03.2005 23:00:00.000 GMT+0100,1.57015,1.57887,1.56911,1.57734,446043.1997
